As World War I broke out. ||| As ||| As World War I broke out, his company received large government contracts for use of the material.
Since 2007. ||| Since ||| Since 2007, the annual Roar on the Shore motorcycle rally has taken place in Erie.
That name had arrived in Melbourne in July 1854 but did not correspond to the Claimant's description. ||| that ||| A ship of that name had arrived in Melbourne in July 1854 but did not correspond to the Claimant's description.
While taking all 10 wickets. ||| while ||| The latter bowling figures remain a record in first-class cricket for the fewest runs conceded while taking all 10 wickets.
As two of the children were already studying in university. ||| as ||| The family home was sold as two of the children were already studying in university.
As their royal signature in their inscriptions. ||| as ||| This title in the Kannada language was proudly used by the Hoysala kings as their royal signature in their inscriptions.
That is among the most diverse in Greater Manchester. ||| that ||| Cotteril Clough is an area of woodland that is among the most diverse in Greater Manchester.
After the 1917 Halifax Explosion. ||| After ||| After the 1917 Halifax Explosion, prisoners were transferred to the 800-man Amherst Internment Camp at Amherst, Nova Scotia.
After take off. ||| after ||| On the morning of September 11, 2001, Mihdhar boarded American Airlines Flight 77, which was hijacked approximately 30 minutes after take off.
Than the province's, the population of Chetwynd is young. ||| than ||| With a median age four years lower than the province's, the population of Chetwynd is young.
Where a memorial service was held on April 24. ||| where ||| Iowa returned on April 23 to Norfolk, where a memorial service was held on April 24.
Since 1792. ||| since ||| Europe had been by then embroiled in the French Revolutionary Wars since 1792.
When Churchill again became Prime Minister, he appointed Ismay Secretary of State for Commonwealth Relations. ||| when ||| Then, in 1951, when Churchill again became Prime Minister, he appointed Ismay Secretary of State for Commonwealth Relations.
That Cincinnati had won 10 games in a season. ||| that ||| It was only the second time in school history that Cincinnati had won 10 games in a season.
Before being out leg before wicket to his old trainer Attewell. ||| before ||| He also scored a century against Nottinghamshire, making 119 runs before being out leg before wicket to his old trainer Attewell.
As a whole. ||| as ||| Fielding's purpose in relying on the farce tradition was specifically to criticise society as a whole.
Than 12 million cigars were manufactured and exported annually. ||| than ||| At its peak, more than 12 million cigars were manufactured and exported annually.
As it was behind the ridges. ||| as ||| A further complication was the location of German artillery, hidden as it was behind the ridges.
That she drove her ambulance through all the 68 major air raids that struck Liverpool during the war years. ||| that ||| However, she records that she drove her ambulance through all the 68 major air raids that struck Liverpool during the war years.
As the recording secretary of the local branch. ||| as ||| Hindman himself joined the Ripley chapter of the Sons of Temperance and served as the recording secretary of the local branch.
As the Atomic Energy Act of 1946. ||| as ||| Truman signed the compromise bill into law as the Atomic Energy Act of 1946.
That a framework for the new state was discussed between both countries. ||| that ||| On 11 December 2007, reports emerged that a framework for the new state was discussed between both countries.
After 34 days' march. ||| after ||| They arrived on 20 August 1816, after 34 days' march.
As president for a brief period and Dan as a deputy prime minister. ||| as ||| Suu later served as president for a brief period and Dan as a deputy prime minister.
Once set about assembling troops and ships to invade England. ||| once ||| William and Harald at once set about assembling troops and ships to invade England.
While turning to face attackers approaching from behind. ||| while ||| For instance, an ura technique might be used to neutralise the current attacker while turning to face attackers approaching from behind.
When they were around her. ||| when ||| Pat in particular liked the butlers and maids to be very quiet when they were around her.
As their primary economic mainstay. ||| as ||| Those on the lower river, slightly closer to the coast, often relied on fishing as their primary economic mainstay.
That the positions had to be held. ||| that ||| Nonetheless, Kesselring insisted that the positions had to be held.
That year, he was elected to a full term on the court, defeating former governor and judge Simeon S. Willis. ||| that ||| Later that year, he was elected to a full term on the court, defeating former governor and judge Simeon S. Willis.
That it would not. ||| that ||| In this case, the court ruled unanimously that it would not.
Whether the English pursuit was ordered by Harold or if it was spontaneous. ||| whether ||| It is not known whether the English pursuit was ordered by Harold or if it was spontaneous.
That the wreck was not that of Jeannette. ||| that ||| For five weeks he circled the Bering Sea; encounters with locals convinced him that the wreck was not that of Jeannette.
After peaking in intensity, Estelle weakened to tropical storm status. ||| after ||| Two days after peaking in intensity, Estelle weakened to tropical storm status.
As the Bloody Assizes took place to punish the rebels. ||| as ||| A series of trials known as the Bloody Assizes took place to punish the rebels.
Though he was originally reluctant. ||| Though ||| Though he was originally reluctant, he agreed to stand after a 300-signature petition urging his candidacy was presented to him.
Although Jardine enjoyed the tour. ||| Although ||| Although Jardine enjoyed the tour, there were still clashes evident.
That still affects contemporary graphic design everywhere. ||| that ||| Peter Saville was most notable for his minimalistic influence that still affects contemporary graphic design everywhere.
After a long illness. ||| after ||| Herriman died in his sleep in his home near Hollywood on April 25, 1944, after a long illness.
While attempting to rescue a later Nobile expedition, Amundsen disappeared with his aircraft in the seas between Norway and Spitsbergen. ||| while ||| In 1928, while attempting to rescue a later Nobile expedition, Amundsen disappeared with his aircraft in the seas between Norway and Spitsbergen.
Where Crane was warmly received. ||| where ||| On March 20, they sailed first to England, where Crane was warmly received.
While at Wirotomo Sudirman was a member of the Wirotomo Student Union. ||| While ||| While at Wirotomo Sudirman was a member of the Wirotomo Student Union, drama club, and band.
That can be accessed by a vehicle and along paved roads. ||| that ||| Dogs are permitted at front country campsites that can be accessed by a vehicle and along paved roads.
After the Illinois game, California faced its toughest opponent of the season: third-ranked Southern California. ||| after ||| The week after the Illinois game, California faced its toughest opponent of the season: third-ranked Southern California.
As a result. ||| As ||| As a result, stream banks were eroding and upland vegetation was encroaching into riparian zones.
If the king called for it. ||| if ||| Map relates a story about Pain serving the king personally at night, providing Henry with wine if the king called for it.
That won the Fifth Test, dropping Ring for Johnson. ||| that ||| He made only one change from the team that won the Fifth Test, dropping Ring for Johnson.
Once in the premier's room. ||| Once ||| Once in the premier's room, they would have sex next to his sleeping son, taking care to be quiet.
As owl, pheasant, magpie, sika deer, and Chinese bamboo partridge were consumed. ||| as ||| Commonly hunted game, such as owl, pheasant, magpie, sika deer, and Chinese bamboo partridge were consumed.
While some can be reserved. ||| while ||| Most of the campgrounds are on a first come first served basis, while some can be reserved.
That time the court of last resort in the state. ||| that ||| Republicans appealed to the Kentucky Court of Appeals, at that time the court of last resort in the state.
As well as the National Library of Serbia. ||| as ||| The Serbian Academy of Sciences and Arts is also based in Belgrade, as well as the National Library of Serbia.
That the series would consist of three films. ||| that ||| In 2014, it was announced that the series would consist of three films.
After unloading its vehicles. ||| After ||| After unloading its vehicles, the regiment continued its flanking movement.
Although caught by surprise. ||| Although ||| Although caught by surprise, John Asen reacted rapidly.
When he was still a small child. ||| when ||| His family moved with him to Nebraska when he was still a small child.
As Australia crushed Essex by an innings and 451 runs, its largest winning margin for the summer. ||| as ||| Harvey was then rested as Australia crushed Essex by an innings and 451 runs, its largest winning margin for the summer.
As they lost to the Clippers in seven games. ||| as ||| Their quest for back-to-back championships was ended May 2 as they lost to the Clippers in seven games.
Where he studied under Bellamy Storer. ||| where ||| He enrolled at the Cincinnati Law School in 1855, where he studied under Bellamy Storer.
That destroyed a home, killing a family of three. ||| that ||| The rains triggered a landslide outside of Santo Domingo that destroyed a home, killing a family of three.
After depositing his family in a London hotel. ||| After ||| After depositing his family in a London hotel, the Claimant called at Lady Tichborne's address and was told she was in Paris.
When Patsy Tebeau became manager of the Cleveland Spiders, the club became known for its aggressive tactics. ||| when ||| In 1891, when Patsy Tebeau became manager of the Cleveland Spiders, the club became known for its aggressive tactics.
As he pleaded guilty but asked for a life sentence instead of death. ||| as ||| His trial took only thirty minutes as he pleaded guilty but asked for a life sentence instead of death.
After missing selection for the 1986 Commonwealth Games and attempted to follow his father into politics. ||| after ||| Evans retired after missing selection for the 1986 Commonwealth Games and attempted to follow his father into politics.
Unless the surface improved. ||| Unless ||| Unless the surface improved, their food would not last them to the pole and then on to Franz Josef Land.
After her father, George Heyer. ||| after ||| She was named after her father, George Heyer.
That the society featured Satie's music in a concert in January 1911. ||| that ||| Kelly considers it a sign of Ravel's new influence that the society featured Satie's music in a concert in January 1911.
That the Anarchy caused during King Stephen's reign. ||| that ||| The work also depicts the devastation that the Anarchy caused during King Stephen's reign.
As the capital of the renewed Yugoslavia, developing as a major industrial center. ||| as ||| During the post-war period, Belgrade grew rapidly as the capital of the renewed Yugoslavia, developing as a major industrial center.
As a result. ||| as ||| His father died midway during the tour, and Lovering began drinking heavily as a result.
As a hero. ||| as ||| The attack raised morale in the United States and its commander, Lieutenant Colonel James H. Doolittle, was seen as a hero.
Than two miles from the shaft bottom to the workface. ||| than ||| The firemen for the Mafeking return had to travel more than two miles from the shaft bottom to the workface.
As the explosion ripped through the city. ||| as ||| Coleman was killed at his post as the explosion ripped through the city.
Once inland. ||| Once ||| Once inland, Gert began to feel the effects of a high-pressure ridge to its northwest, causing the storm to again turn west-northwest.
That bagpiper Gilbert Kerr was photographed serenading a penguin. ||| that ||| It was during this period of inactivity that bagpiper Gilbert Kerr was photographed serenading a penguin.
As a result. ||| As ||| As a result, they turned against him.
As well as perch, lingcod, and crab near the ocean. ||| as ||| The lower river has spring and fall Chinook, as well as perch, lingcod, and crab near the ocean.
That is now called The Dalles and thought they had never seen a land so beautiful. ||| that ||| They came upon an area that is now called The Dalles and thought they had never seen a land so beautiful.
Until the 1920s that it became popular. ||| until ||| The piece was only modestly successful at its first production, and it was not until the 1920s that it became popular.
That summer in northern Missouri and did not see action. ||| that ||| Weaver's unit spent that summer in northern Missouri and did not see action.
Until September 19. ||| until ||| Headwinds and fog delayed the departure of the expedition from Newburyport until September 19.
Than the issues of the day. ||| than ||| The resulting campaign between Cleveland and Blaine focused more on scandal and mudslinging than the issues of the day.
Before emigrating to Canada in 1896. ||| before ||| He worked aboard a cattle boat in 1892 before emigrating to Canada in 1896.
After Lindemann returned to Germany. ||| After ||| After Lindemann returned to Germany, he was promoted to commander on 1 October 1936.
After being swept out to sea. ||| after ||| Two sightseers were killed after being swept out to sea.
Before being dismissed by Laker. ||| before ||| He battled for over four hours in compiling 38 before being dismissed by Laker.
That he attempted an escape dressed in women's clothing. ||| that ||| A story circulated widely that he attempted an escape dressed in women's clothing.
While he continued to be a productive starter. ||| While ||| While he continued to be a productive starter, he was never again selected to play in an All-Star Game.
As much pre-season training as the other swimmers in Talbot's squad. ||| as ||| He often did twice as much pre-season training as the other swimmers in Talbot's squad.
As their daughter. ||| as ||| Their godchild, Magdalena Caraguel, was eventually adopted by the couple as their daughter.
That this passivity has an impact of increasing the taboo nature of the word. ||| that ||| He argues that this passivity has an impact of increasing the taboo nature of the word.
Although the inclusion of loss of business and personal revenue increased the total to over $1 billion. ||| although ||| Monetary losses totaled $754.7 million, although the inclusion of loss of business and personal revenue increased the total to over $1 billion.
When many tribes hoarded the best resources. ||| when ||| German attempts to distribute supplies inland were frustrated when many tribes hoarded the best resources.
After the bombing that the Vietcong were responsible. ||| after ||| Johnson administration officials concluded four days after the bombing that the Vietcong were responsible.
Where he boarded a British ship, Rio Packet, bound for London. ||| where ||| He found his way to South Africa, where he boarded a British ship, Rio Packet, bound for London.
As a source of income. ||| as ||| He purchased a herd of sheep and goats and used them as a source of income.
As it turned westward. ||| as ||| The depression failed to organize significantly as it turned westward.
As a tropical wave in the eastern Caribbean. ||| as ||| A fairly long-lived July Atlantic hurricane, Claudette began as a tropical wave in the eastern Caribbean.
If a slope was available. ||| If ||| If a slope was available, troops were deployed along the rear side for protection.
As emergency shelters. ||| as ||| About 8,000 people evacuated on May 18, utilizing schools and public buildings as emergency shelters.
Before dissipating. ||| before ||| Fernand weakened to a tropical depression later on August 26, hours before dissipating.
That same day. ||| that ||| The depression transitioned into an extratropical storm over Virginia, and became indistinguishable by later that same day.
After Pohl entered the army in early 1943. ||| After ||| After Pohl entered the army in early 1943, wartime paper shortages led Popular to cease publication of Astonishing.
While the aircraft successfully rendezvoused near the Completion Force. ||| While ||| While the aircraft successfully rendezvoused near the Completion Force, heavy cloud cover kept them from spotting any of the ships.
As the cradle of Indian swimming because of its high standards in comparison to other states. ||| as ||| Karnataka has been referred to as the cradle of Indian swimming because of its high standards in comparison to other states.
While on board the George Washington. ||| While ||| While on board the George Washington, Pollock and Chaplain Paul F. Bloomhardt edited a daily newspaper.
When he was seven years old. ||| when ||| Young Rakoto began playing the sodina when he was seven years old.
Before the Test matches began. ||| Before ||| Before the Test matches began, Hutton scored three centuries and then contributed 83 as England won the first Test.
Where many large trees form a canopy. ||| where ||| The seventh and final stage is climax forest, where many large trees form a canopy.
As part of their conference schedules. ||| as ||| Between 1993 and 2003, Boston College and Virginia Tech played annually as part of their conference schedules.
That many of the men who use these brokers are repeat abusers looking for their next victim. ||| that ||| Tahirih counters that many of the men who use these brokers are repeat abusers looking for their next victim.
Than one Category 5 storm. ||| than ||| The season was one of only four on record for the Atlantic with more than one Category 5 storm.
As the sub-agent to the Cherokees by President James Monroe. ||| as ||| He became trusted by the Cherokee Nation and was appointed as the sub-agent to the Cherokees by President James Monroe.
Rather than work his way up to them. ||| rather than ||| He volunteered to fly the squadron's most dangerous missions right away, rather than work his way up to them.
As a member of Bradman's Invincibles. ||| as ||| The tour was to guarantee him immortality as a member of Bradman's Invincibles.
Although football became Graham's primary sport. ||| Although ||| Although football became Graham's primary sport, he also played baseball and continued on the basketball team.
Until V-J Day, the end of the war in the Pacific. ||| until ||| Radford commanded the force in this duty until V-J Day, the end of the war in the Pacific.
As his appearances were restricted by journalistic and business requirements. ||| as ||| Fender played less frequently in the following seasons, as his appearances were restricted by journalistic and business requirements.
As the northern boundary between El Hatillo and the municipalities of Baruta and Sucre. ||| as ||| La Guairita serves as the northern boundary between El Hatillo and the municipalities of Baruta and Sucre.
After dropping three catches in Australia's first innings in the second Test. ||| After ||| After dropping three catches in Australia's first innings in the second Test, Hutton scored 145 runs in his first innings.
Until nine hours later. ||| until ||| Operationally, however, Hurricane Hunters did not confirm the depression's formation until nine hours later.
After an altercation, bringing him into custody with several of his followers. ||| after ||| More police arrived and subdued Clarence 13X after an altercation, bringing him into custody with several of his followers.
That had already left Denver was turned back. ||| that ||| One westbound freight train that had already left Denver was turned back.
As a whole. ||| As ||| As a whole, the faulted terrain is dominated by rolling hills and ridges cut by escarpments and canyons.
Until 1808, by which time only one mutineer, John Adams, remained alive. ||| until ||| Christian's group remained undiscovered on Pitcairn until 1808, by which time only one mutineer, John Adams, remained alive.
As his designs progressed. ||| As ||| As his designs progressed, he decided to form a partnership for the manufacture of his vehicles.
That gradually moved across the northern Atlantic Ocean. ||| that ||| The resulting storm was a very large and fairly strong gale that gradually moved across the northern Atlantic Ocean.
That were printed in Life. ||| that ||| He took several photos that were printed in Life.
Though as a rookie he saw little ice time in the regular season. ||| though ||| At 18, Richard joined the Verdun Juniors, though as a rookie he saw little ice time in the regular season.
Than Kheyra. ||| than ||| Rustem Bey was taller and heavier than Kheyra.
That some commentators continued to criticise his overcaution. ||| that ||| The citation praised his attitude, technique, fielding and bowling, noting however that some commentators continued to criticise his overcaution.
That he played less than 32 minutes per game. ||| that ||| His 26.6 minutes per game marked the first season that he played less than 32 minutes per game.
That remains unsurpassed. ||| that ||| Bradman had scored a world Test series record of 974 runs in 1930, a mark that remains unsurpassed.
That is reserved for underprivileged children to attend Canucks games. ||| that ||| He also sponsored a spectator's box in Rogers Arena that is reserved for underprivileged children to attend Canucks games.
As did mass arrests and trials. ||| as ||| Appeals to patriotism and duty followed, as did mass arrests and trials.
That he would perform every September between 1894 and 1899. ||| that ||| In September he starred in a series of stand-up comedy shows that he would perform every September between 1894 and 1899.
As trial by jury, were introduced to Texas, and English was authorized as a second language. ||| as ||| Several American legal concepts, such as trial by jury, were introduced to Texas, and English was authorized as a second language.
As the third-greatest Indonesian musician of all time. ||| as ||| In 2011 they listed Chrisye as the third-greatest Indonesian musician of all time.
That year, Remembrance Day, with Bryan present. ||| that ||| Depicting an aeroplane and a dove intertwined, it was formally dedicated on 11 November that year, Remembrance Day, with Bryan present.
While the men camped and waited for conditions to improve. ||| while ||| Frequently the boats were tied to floes, or dragged up onto them, while the men camped and waited for conditions to improve.
As he examines the area. ||| As ||| As he examines the area, he sees a woman who he thinks is Lily.
Until 1980. ||| until ||| He defended himself in an open letter to the Archbishop of Westminster, Cardinal Francis Bourne, which remained unpublished until 1980.
As Ironmonger again caused difficulties for the West Indies batsmen. ||| as ||| However, the fourth Test was lost by an innings as Ironmonger again caused difficulties for the West Indies batsmen.
That the firefighters were in good physical condition and most had some experience fighting forest fires. ||| that ||| His conclusions were that the firefighters were in good physical condition and most had some experience fighting forest fires.
As a result. ||| As ||| As a result, it was much denser than normal and proved difficult to manage.
After washing ashore. ||| after ||| His body was recovered on August 16 after washing ashore.
After she missed three consecutive board meetings between 1986 and 1989. ||| after ||| Her removal was automatically triggered after she missed three consecutive board meetings between 1986 and 1989.
That she and Brownlee had carried on an affair for three years. ||| that ||| MacMillan claimed that she and Brownlee had carried on an affair for three years.
As a public relations officer. ||| as ||| In 1906 he was working for the industrial magnate Sir William Beardmore as a public relations officer.
As part of his investigation. ||| As ||| As part of his investigation, Milligan interviewed Moosally on May 1 and May 10, 1989.
As governor, Bradley moved to Louisville and resumed his legal practice. ||| as ||| Following his term as governor, Bradley moved to Louisville and resumed his legal practice.
Since detonation was four milliseconds. ||| since ||| Elapsed time since detonation was four milliseconds.
As the waves eroded the island. ||| as ||| They soon began basking there, particularly on the northern spit, which grew as the waves eroded the island.
Until the 16th century in much of Europe. ||| until ||| It was used mainly in churches and cathedrals, and continued in use until the 16th century in much of Europe.
After graduation. ||| After ||| After graduation, Davies returned to work in the mines, initially at Tumble in the Gwendraeth Valley.
While vacationing in Rajasthan, India. ||| while ||| The couple became engaged on December 31, 2009, while vacationing in Rajasthan, India.
While Harvick was scored in twenty-fourth. ||| while ||| Of the other drivers in the Chase, Hamlin was scored sixteenth fastest, while Harvick was scored in twenty-fourth.
Before going bankrupt and thus leaving New Worlds without a publisher. ||| before ||| Pendulum Publications produced one more issue in October 1947, shortly before going bankrupt and thus leaving New Worlds without a publisher.
Where he worked as a screenwriter. ||| where ||| Bodley moved to the United States in 1935, where he worked as a screenwriter.
Than two weeks after Marie, Hurricane Norbert threatened to bring further increased surf to the area. ||| than ||| Less than two weeks after Marie, Hurricane Norbert threatened to bring further increased surf to the area.
Once more, Loire had escaped. ||| once ||| By the time Mermaid was ready for action once more, Loire had escaped.
As the opening partner of Jack Hobbs. ||| as ||| In September 1911 Rhodes made his third visit to Australia, this time as the opening partner of Jack Hobbs.
Once Ignatz reverts to his white self. ||| Once ||| Once Ignatz reverts to his white self, Krazy loves him again.
As a wartime air force training station. ||| as ||| Originally, in the 1940s, the John C. Munro Hamilton International Airport was used as a wartime air force training station.
That a new governor had been appointed, and his company had been liquidated. ||| that ||| He arrived three months later to find that a new governor had been appointed, and his company had been liquidated.
As their mother tongue. ||| as ||| Nearly 6.8 million Canadians listed a non-official language as their mother tongue.
After pushing inland. ||| After ||| After pushing inland, the storm stalled and weakened to a tropical depression on October 21 before dissipating fully the next day.
Since 1939 nearby the intersection of Boulevard Raspail and Boulevard Montparnasse at Place Pablo-Picasso. ||| since ||| Cast in bronze, the Balzac Monument has stood since 1939 nearby the intersection of Boulevard Raspail and Boulevard Montparnasse at Place Pablo-Picasso.
That resulted in another death. ||| that ||| Heavy thunderstorms spawned a tornado in South Carolina that resulted in another death.
That stops outside the visitor centre. ||| that ||| The reserve can be reached by public transport using the bus service that stops outside the visitor centre.
That he felt as if he had reached a dead end, having tried all genres available. ||| that ||| He later told Kompas that he felt as if he had reached a dead end, having tried all genres available.
As floating pigs. ||| as ||| They have long associated their act with absurd symbology with images such as floating pigs.
After soldiers lassoed him. ||| After ||| After soldiers lassoed him, Brown surrendered and was taken captive.
As far as South Georgia. ||| as ||| Gooch agreed to sail with Endurance as far as South Georgia.
As the Austrian army retreated. ||| As ||| As the Austrian army retreated, Bonaparte ordered a pursuit that caused the Austrians to abandon their artillery and baggage.
That he fictionalised his own mental breakdown, which occurred in the early 1950s. ||| that ||| Waugh's detachment was such that he fictionalised his own mental breakdown, which occurred in the early 1950s.
That she saw Pluto make off with Proserpine. ||| that ||| Arethusa comes, to tell Ceres that she saw Pluto make off with Proserpine.
Than the other students in his class, he often spoke out against their use of alcohol. ||| than ||| Older than the other students in his class, he often spoke out against their use of alcohol.
That the pitch would be ideal for batting after offering some assistance to fast bowlers in the first hour. ||| that ||| Pundits predicted that the pitch would be ideal for batting after offering some assistance to fast bowlers in the first hour.
After Logan's announcement, the Eagles' offensive line coach, Jack Bicknell, Jr., also announced that he was leaving the team. ||| after ||| One week after Logan's announcement, the Eagles' offensive line coach, Jack Bicknell, Jr., also announced that he was leaving the team.
Since the 13th century, when Bridgwater was granted a charter by King John. ||| since ||| There has been a bridge here since the 13th century, when Bridgwater was granted a charter by King John.
After the battle and continued to pursue the Russians in upcoming months. ||| after ||| Napoleon regrouped his forces after the battle and continued to pursue the Russians in upcoming months.
As The Blue School in Wells and Richard Huish College in Taunton. ||| as ||| Several schools can trace their origins back many years, such as The Blue School in Wells and Richard Huish College in Taunton.
As a genre-defining work by Decibel, the album solidified Megadeth's reputation in the music industry. ||| as ||| Described as a genre-defining work by Decibel, the album solidified Megadeth's reputation in the music industry.
That he was the missing Sir Roger but asked that this be kept secret. ||| that ||| The Claimant confided that he was the missing Sir Roger but asked that this be kept secret.
Before striking Japan. ||| before ||| Chataan later left heavy damage in Guam before striking Japan.
When they had finished. ||| When ||| When they had finished, each prisoner had to approach the hole, present his neck, and was shot.
After neither team scored in the third quarter. ||| After ||| After neither team scored in the third quarter, each team completed one touchdown pass in the final period.
As well as considerable power of patronage. ||| as ||| These latter posts yielded him considerable income as well as considerable power of patronage.
As of 2015. ||| As ||| As of 2015, the National Institute of Statistics of Rwanda estimates Rwanda's population to be 11,262,564.
After Edward Colston. ||| after ||| The city has many venues for live music, its largest the 2,000-seat Colston Hall named after Edward Colston.
Until he eventually became its commanding colonel. ||| until ||| He worked his way up through the Orange County militia ranks until he eventually became its commanding colonel.
Than it had been: just 259 present for duty. ||| than ||| The regiment was smaller, too, than it had been: just 259 present for duty.
That he had not meant for the re-enactment to have been an insult to the Japanese. ||| that ||| He said that he had not meant for the re-enactment to have been an insult to the Japanese.
Than 70 percent of the watershed was developed. ||| than ||| By the end of the 20th century, more than 70 percent of the watershed was developed.
As a result of his sporting activities. ||| as ||| By the 1950s, he had developed arthritis, probably as a result of his sporting activities.
When she was twelve years old after accompanying her brother to his boxing training. ||| when ||| Kentikian discovered her enthusiasm for boxing when she was twelve years old after accompanying her brother to his boxing training.
That day, although Penn State did raise questions about the contamination remaining. ||| that ||| This met the standards for that day, although Penn State did raise questions about the contamination remaining.
Before it became apparent at the surface. ||| before ||| The eruption was unexpected, and almost certainly began some days before it became apparent at the surface.
As pteropods, and single-celled algae called coccolithophorids and foraminifera. ||| as ||| Affected planktonic organisms will include the snail-like molluscs known as pteropods, and single-celled algae called coccolithophorids and foraminifera.
If any, is unknown. ||| if ||| Impact in Mexico, if any, is unknown.
Until recently one of the city's main sports venues. ||| until ||| Caversham has strong sporting connections, and is the location of Carisbrook, until recently one of the city's main sports venues.
As the mountain pine beetle are having an enormous negative impact on some tree species. ||| as ||| Native species such as the mountain pine beetle are having an enormous negative impact on some tree species.
As the hero of the Siege of Mafeking. ||| as ||| Baden-Powell made full use of his personal fame as the hero of the Siege of Mafeking.
That day, at 17:00 local time. ||| that ||| The start of the Second Boer War was announced in Pretoria that day, at 17:00 local time.
As Montgomery, Jim Petro, DeWine, Maureen O'Connor, and Rob Portman declined to enter the race. ||| as ||| Several leading Republican party contenders such as Montgomery, Jim Petro, DeWine, Maureen O'Connor, and Rob Portman declined to enter the race.
Although he wrote honestly about his fear in battle. ||| Although ||| Although he wrote honestly about his fear in battle, others observed his calmness and composure.
As an appraiser of property and slaves for Union Bank of Florida. ||| as ||| Cooley was appointed as an appraiser of property and slaves for Union Bank of Florida.
That Wagner asserted that he would not have written another note, had she not been there. ||| that ||| Cosima's influence was such that Wagner asserted that he would not have written another note, had she not been there.
As a kind of campaign manager, fell ill and died. ||| as ||| During Ashmole's campaign his cousin, Thomas Smalridge, who was acting as a kind of campaign manager, fell ill and died.
That powers the mill. ||| that ||| A diversion dam was built in the 1880s to provide water for the turbine that powers the mill.
When a final vote was taken. ||| When ||| When a final vote was taken, the bill was passed in the House of Lords by a large margin.
Before departing. ||| before ||| MacArthur insisted on seeing Australian soldiers in action, and the party visited a group of front line infantrymen before departing.
As a bimonthly in September 1939, and was converted to monthly from the second issue, in November 1939. ||| as ||| The magazine was launched as a bimonthly in September 1939, and was converted to monthly from the second issue, in November 1939.
As class president and class poet. ||| as ||| During his senior year, Cooper served as class president and class poet.
That a new centre should be created as a memorial to Murray. ||| that ||| Bruce proposed that a new centre should be created as a memorial to Murray.
After the stage. ||| after ||| Aru rode strongly, and was only three seconds behind Dumoulin in the general classification after the stage.
As the vulnerable Oregon spotted frog and the near threatened Cascades frog inhabit some regions of the watershed. ||| as ||| Amphibians such as the vulnerable Oregon spotted frog and the near threatened Cascades frog inhabit some regions of the watershed.
After the operation concluded. ||| After ||| After the operation concluded, the staff sergeant who was caught in his abseil rope was treated at St Stephen's Hospital in Fulham.
That had lasted for over two and a half years. ||| that ||| It continued a winless streak for Tallon in Queensland colours that had lasted for over two and a half years.
As a pupil. ||| as ||| It took him several attempts to find an artist who would accept him as a pupil.
As the city's first hospital, the 167-bed facility is operated by Tuality Healthcare. ||| as ||| Opened in 1918 as the city's first hospital, the 167-bed facility is operated by Tuality Healthcare.
Than 50 students, delivered supplies to flood victims in New Mexico, including clothing and other donations. ||| than ||| Many residents in Tucson, including more than 50 students, delivered supplies to flood victims in New Mexico, including clothing and other donations.
While in government. ||| while ||| He continued to contribute to The Herald while in government.
As Chief of the Air Staff in his absence. ||| as ||| Goble served as Chief of the Air Staff in his absence.
After the protests in Birmingham, and he was lauded by many as a hero. ||| after ||| The reputation of Martin Luther King soared after the protests in Birmingham, and he was lauded by many as a hero.
When Michael revealed to his parents in March 1920 that he had formed a homosexual relationship with another boy. ||| When ||| When Michael revealed to his parents in March 1920 that he had formed a homosexual relationship with another boy, they removed him.
Until Hurricane Wilma broke this record in 2005. ||| until ||| Hurricane Gilbert was the most intense hurricane ever observed in the Atlantic basin until Hurricane Wilma broke this record in 2005.
That it had been only partially filled with explosives. ||| that ||| This bomb failed to explode, and German bomb disposal experts later determined that it had been only partially filled with explosives.
Though this had risen from 10.8% in 2009. ||| though ||| Only 18% of the population had access to electricity in 2012, though this had risen from 10.8% in 2009.
As well. ||| as ||| His works are included in other Narada compilation projects as well.
That British rule would remain. ||| that ||| Carnarvon dismissed Kruger's idea of a general plebiscite and concluded that British rule would remain.
While her creation was not. ||| while ||| Manning was a writer by profession, while her creation was not.
While others experienced greater losses, despite that the two locations were similar. ||| while ||| The erosion was irregular, however; some locations were unaffected, while others experienced greater losses, despite that the two locations were similar.
After quickly crossing Long Island Sound. ||| After ||| After quickly crossing Long Island Sound, the hurricane made landfall again near Groton, Connecticut,.
After the Norman Conquest of England. ||| After ||| After the Norman Conquest of England, the Archbishops of both Canterbury and York each claimed superiority over the Scottish church.
When the thaw began in mid-March. ||| when ||| They left Yakutsk on January 16, and resumed their search when the thaw began in mid-March.
When Colley Cibber and Robert Wilks of the Theatre Royal rejected The Temple Beau. ||| when ||| This fictional event mirrors Fielding's own life when Colley Cibber and Robert Wilks of the Theatre Royal rejected The Temple Beau.
When he became dissatisfied with them. ||| when ||| Few of Mahler's student compositions have survived; most were abandoned when he became dissatisfied with them.
While on board a schooner on the Potomac River. ||| While ||| While on board a schooner on the Potomac River, he was captured by British forces.
That season. ||| that ||| Erie received 138.4 inches of snow that season.
As sand dunes and vegetated shingle. ||| as ||| Plants can be trampled, which is a particular problem in sensitive habitats such as sand dunes and vegetated shingle.
That Logan had been legally elected. ||| that ||| Privately, however, he expressed his opinion that Logan had been legally elected.
As governor. ||| as ||| The delegates elected Henry Smith as governor.
Although initially predicted to remain north of land. ||| Although ||| Although initially predicted to remain north of land, the storm moved across northern Hispaniola and then tracked across southeastern Cuba.
After this performance. ||| After ||| After this performance, King had to be rested in the field.
